gene	SJMMBT044903_D1	SJMMBT044904_D1	SJMMBT047584_D1	SJMMBT047585_D1	SJMMBT047586_D1	SJMMBT047587_D1	SJMMBT044907_D1	SJMMBT044908_D1	SJMMBT044909_D1	SJMMBT044910_D1	SJMMBT044911_D1	SJMMBT045512_D1	SJMMBT044913_D1	SJMMBT044914_D1	SJMMBT044915_D1	SJMMBT044916_D1	SJMMBT045379_D1	SJMMBT047605_D1
Gm13189	1	24	15	14	5	2	3	24	2	2	38	14	22	3	1	18	37	24
Gm13192	179	361	112	198	194	201	407	158	183	115	248	200	209	289	435	152	208	62
Gm13194	10	6	2	7	6	2	5	14	5	2	22	7	8	5	5	10	17	13
Gm13195	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm13196	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0
Gm13198	0	1	0	0	0	5	3	0	0	0	4	1	3	0	2	2	4	2
Gm13199	32	39	41	16	50	36	29	53	23	17	41	13	28	35	71	36	46	15
Gm13200	0	0	1	0	0	0	0	2	0	0	0	1	2	1	0	2	0	1
Gm13201	0	4	2	5	0	6	0	3	0	1	6	0	5	8	2	4	12	5
Gm13202	29	54	11	23	8	13	23	21	13	19	25	20	36	32	35	17	32	13
Gm13203	0	2	0	0	0	0	8	1	0	0	0	0	6	3	0	0	5	0
Gm13204	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm13205	14	130	39	40	22	4	21	131	11	7	206	52	56	13	15	49	205	122
Gm13206	0	8	0	2	0	0	0	1	0	1	1	0	0	2	3	0	11	0
Gm13207	1	0	0	0	1	0	1	0	0	0	0	0	2	1	0	1	0	0
Gm13209	1	3	1	2	0	0	0	2	0	0	3	0	0	3	1	3	5	0
Gm13210	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm13211	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13212	94	134	25	33	35	49	23	42	57	63	72	25	123	117	117	44	106	33
Gm13213	0	1	0	0	0	0	0	2	1	0	4	0	1	1	3	0	0	1
Gm13214	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm13215	11	22	6	12	11	16	19	19	9	14	12	19	7	17	26	7	14	9
Gm13216	6	11	5	4	6	6	6	4	3	5	8	8	2	1	7	3	3	3
Gm13217	163	187	48	120	101	106	156	168	87	87	140	109	134	159	152	131	159	112
Gm13218	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Gm13219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm1322	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13223	0	1	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0
Gm13225	1	1	0	1	2	0	46	0	0	0	1	16	1	0	0	1	3	0
Gm13226	38	56	18	25	20	16	49	22	24	24	52	31	30	24	21	15	13	7
Gm13227	0	1	0	0	18	3	0	0	0	0	1	0	0	0	0	2	0	0
Gm13230	0	6	1	1	104	21	3	1	1	1	3	2	6	1	1	1	16	0
Gm13231	44	35	10	21	20	26	40	23	19	10	24	15	19	42	50	21	26	7
Gm13232	170	184	40	52	124	97	172	88	81	64	102	55	69	109	418	83	121	5
Gm13233	0	1	2	1	2	11	2	1	0	0	2	1	0	0	0	0	2	1
Gm13234	1	0	0	1	0	0	2	1	0	0	0	0	3	0	0	1	0	0
Gm13235	0	5	2	3	2	11	0	6	0	2	3	1	4	0	1	2	9	2
Gm13236	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Gm13237	507	591	89	111	305	231	540	208	262	176	229	145	177	262	998	275	386	28
Gm13238	4	75	14	23	25	48	11	33	16	9	33	8	11	4	9	10	31	17
Gm13239	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Gm13240	0	2	4	0	0	3	3	5	0	1	3	0	0	2	2	0	2	1
Gm13241	0	11	11	14	31	27	15	10	4	1	19	15	14	10	2	22	7	4
Gm13242	1	7	1	1	3	8	12	0	0	0	4	10	0	0	1	1	6	0
Gm13243	3	13	5	10	12	18	25	8	4	4	23	14	5	5	11	7	9	4
Gm13244	0	0	0	2	4	10	0	1	0	1	1	0	1	0	0	1	2	1
Gm13245	1	6	6	4	12	4	18	16	1	0	8	4	2	4	3	6	8	2
Gm13247	1	7	12	3	5	9	9	17	3	0	13	25	4	1	2	27	15	6
Gm13248	55	239	72	94	105	126	159	175	76	87	194	105	125	116	65	97	137	78
Gm13250	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm13251	146	553	190	245	411	267	702	459	173	138	411	401	306	258	148	374	354	230
Gm13252	12	13	8	9	6	24	6	19	15	5	11	9	14	32	28	21	27	8
Gm13257	0	2	0	0	0	0	0	4	0	0	0	0	1	0	1	1	0	4
Gm13258	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm13259	1	0	2	0	1	1	0	2	1	2	0	0	0	1	2	0	1	1
Gm13261	3	1	0	0	6	0	0	0	0	0	4	0	1	0	4	2	1	0
Gm13262	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Gm13263	8	4	4	0	4	4	11	1	6	7	2	8	9	14	5	6	4	2
Gm13264	0	0	0	0	6	0	0	0	1	2	5	2	1	0	0	0	2	0
Gm13265	1	1	1	0	1	1	0	0	0	1	1	1	3	2	1	0	2	0
Gm13266	4	4	3	1	2	4	2	18	1	1	12	4	2	0	0	15	12	6
Gm13267	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0
Gm13268	16	39	2	4	3	4	30	3	21	20	17	5	14	7	6	3	7	2
Gm13269	1	0	0	0	1	3	0	1	0	0	0	0	1	0	0	1	0	0
Gm13270	19	26	21	6	2	8	12	7	3	6	11	4	14	9	20	6	16	6
Gm13271	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm13272	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	1	1
Gm13273	0	1	0	0	1	1	11	0	1	1	1	0	0	6	1	1	2	0
Gm13274	0	1	2	1	0	0	4	2	0	1	0	0	0	3	2	2	7	0
Gm13275	1	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0
Gm13276	0	5	1	1	0	1	1	0	0	0	0	2	0	0	1	0	2	0
Gm13277	0	0	0	1	1	1	5	1	0	0	4	0	1	5	0	0	3	0
Gm13278	0	1	2	1	0	0	7	1	0	0	2	3	1	0	0	1	6	0
Gm13279	1	0	7	2	1	2	9	1	0	0	2	1	1	9	3	4	6	1
Gm13280	0	1	1	0	0	5	4	0	0	0	2	0	0	0	1	1	0	0
Gm13281	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
Gm13282	4	7	10	2	6	8	27	8	0	3	12	3	8	16	17	13	17	2
Gm13283	4	0	6	1	1	0	7	1	1	1	1	2	2	6	8	1	8	1
Gm13284	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0
Gm13285	1	0	3	2	1	1	13	0	0	0	5	2	0	6	6	1	16	2
Gm13286	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Gm13287	2	0	2	1	0	1	4	1	1	0	1	4	0	3	2	1	4	0
Gm13288	2	1	2	2	1	1	9	2	0	1	1	2	0	5	6	4	1	1
Gm13289	0	1	2	0	0	1	7	2	0	0	3	0	4	5	5	2	4	2
Gm13290	1	1	7	0	0	3	17	0	2	1	8	3	0	2	3	2	4	1
Gm13291	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0
Gm13292	551	699	186	374	317	284	662	589	272	184	773	286	391	598	868	550	884	489
Gm13293	37	65	26	33	36	44	84	169	15	33	95	49	32	66	22	71	129	46
Gm13294	10	3	1	9	3	6	7	0	7	3	10	5	2	3	9	5	4	4
Gm13295	8	14	7	9	5	6	17	33	5	7	23	7	15	15	15	8	43	1
Gm13297	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm13298	2	230	36	35	36	25	55	84	13	23	182	43	75	26	26	41	216	74
Gm13299	0	6	1	0	1	2	1	0	0	1	7	2	3	7	2	8	7	1
Gm13300	0	44	13	1	0	0	1	0	0	22	81	36	32	95	0	45	73	20
Gm13301	1	162	39	0	0	0	3	3	0	104	237	82	132	357	2	104	140	70
Gm13302	0	27	4	0	0	0	0	0	1	13	71	25	29	76	1	31	63	24
Gm13303	0	21	5	1	0	2	1	2	2	3	27	9	12	14	0	8	34	5
Gm13304	0	25	6	4	12	19	23	1	12	10	20	24	15	11	17	18	19	10
Gm13305	17	64	31	17	36	39	25	66	15	10	104	37	41	27	25	48	81	46
Gm13306	9	34	17	18	46	10	3	36	3	3	62	13	23	20	11	16	49	24
Gm13307	0	13	2	1	3	4	7	9	2	3	20	10	12	15	13	11	11	11
Gm13308	6	49	10	15	22	10	23	50	8	6	70	25	35	34	19	28	102	35
Gm13309	0	2	2	2	1	3	2	2	0	0	0	3	2	1	0	4	2	1
Gm13310	2	4	1	2	1	4	0	1	0	2	0	1	0	2	8	0	0	1
Gm13311	0	1	0	1	1	0	0	1	0	0	4	0	4	0	0	2	3	4
Gm13312	65	13	18	7	5	45	17	36	31	35	34	29	45	19	7	80	7	9
Gm13313	5	2	0	1	1	0	2	0	0	1	0	1	3	7	1	1	5	0
Gm13314	1	4	1	0	1	0	0	2	0	0	1	0	1	0	0	1	2	6
Gm13315	90	18	31	8	8	82	17	60	33	41	63	66	49	38	41	109	23	17
Gm13316	89	67	31	71	52	41	91	93	38	28	50	54	49	141	134	58	65	38
Gm13318	0	1	2	0	1	0	2	1	0	0	0	1	2	0	0	0	0	0
Gm13319	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm1332	1	1	0	5	1	3	4	4	1	0	5	0	1	9	2	4	6	3
Gm13320	28	34	9	18	8	9	24	12	21	15	16	16	9	28	21	14	15	7
Gm13322	4	1	2	5	0	0	3	7	3	1	16	4	6	3	2	12	18	10
Gm13323	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13324	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0
Gm13325	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm13326	1	1	0	0	2	0	0	2	0	0	1	0	1	1	1	6	4	2
Gm13327	2	2	0	1	1	0	1	8	0	0	5	5	4	0	0	2	6	4
Gm13328	156	129	32	89	83	61	96	68	66	57	147	53	81	164	94	78	75	41
Gm13329	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Gm13330	0	4	0	1	0	0	0	3	0	2	1	2	1	0	2	0	1	0
Gm13331	384	289	142	195	107	74	337	141	182	152	152	215	132	612	407	123	213	84
Gm13333	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0
Gm13334	22	16	6	9	10	9	10	8	2	3	13	4	12	30	16	5	12	12
Gm13335	2	0	1	3	2	4	4	0	2	3	6	1	4	5	1	6	2	3
Gm13337	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13338	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Gm13339	90	217	31	52	41	48	87	177	78	82	298	131	147	149	118	99	208	58
Gm13340	7845	14210	2923	4129	3489	3103	8219	7967	6080	5485	15474	8014	7878	4457	5451	5292	7828	3736
Gm13341	3569	6908	1973	2767	2560	2040	3722	5159	2971	2810	8363	4094	4353	3875	4290	3935	5720	2634
Gm13342	2	5	2	1	0	3	7	1	1	3	1	1	3	0	5	0	0	0
Gm13343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
Gm13346	0	0	0	0	0	6	1	0	0	0	0	0	0	1	1	0	0	0
Gm13347	0	1	0	1	0	2	3	1	0	0	0	1	0	2	4	2	1	2
Gm13348	0	0	0	0	0	1	0	0	0	1	0	0	1	3	2	0	0	0
Gm13349	54	23	9	9	8	14	34	22	33	25	29	23	36	39	64	33	20	12
Gm1335	3	11	0	1	2	0	2	6	6	1	5	2	3	11	3	0	11	4
Gm13350	9	17	5	9	10	3	15	13	12	12	5	2	14	16	17	11	11	3
Gm13351	5	1	2	2	0	0	1	3	0	1	0	4	2	7	1	5	2	1
Gm13352	1	1	1	0	0	2	0	0	0	1	2	0	1	0	2	0	4	0
Gm13353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Gm13355	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Gm13356	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm13357	41	19	19	13	12	19	37	23	32	25	48	25	28	40	37	29	22	10
Gm13359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Gm13360	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
Gm13361	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Gm13362	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0
Gm13363	122	104	32	96	106	51	90	129	55	55	91	88	81	105	132	82	130	52
Gm13364	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2
Gm13365	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0
Gm13369	2	0	0	1	1	1	1	0	1	0	4	2	2	1	3	1	1	1
Gm1337	2	2	1	1	3	14	13	1	1	4	3	6	1	8	7	2	0	0
