geneID	geneSymbol	bioType	annotationLevel	SRR7850870	SRR7850871	SRR7850872	SRR7850873	SRR7850874	SRR7850875	SRR7850876	SRR7850877	SRR7850878
ENSMUSG00000063713.7	Klk1b24	protein_coding	2	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0
ENSMUSG00000063714.15	Sp3os	lncRNA	2	25.0	79.0	64.0	54.0	67.0	88.0	56.0	48.0	32.0
ENSMUSG00000063715.2	Olfr816	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063727.3	Tnfrsf11b	protein_coding	2	12.0	25.0	32.0	42.0	41.0	101.0	28.0	56.0	21.0
ENSMUSG00000063728.10	Magea6	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063730.13	Hsd3b2	protein_coding	2	4.03	11.01	4.0	10.03	4.01	11.02	3.0	3.0	1.0
ENSMUSG00000063739.2	Gm4963	processed_pseudogene	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063751.6	Platr8	lncRNA	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063754.7	Gm10136	processed_pseudogene	2	1.17	7.38	3.47	3.57	0.0	4.93	0.0	4.75	2.34
ENSMUSG00000063760.9	Rnf217	protein_coding	2	437.0	1378.0	1329.0	1297.0	1338.0	1853.0	897.0	1188.0	727.0
ENSMUSG00000063762.5	Tas2r129	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063764.2	Olfr508	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063765.12	Chadl	protein_coding	2	7.0	37.0	42.0	50.0	41.0	35.0	24.0	24.0	6.0
ENSMUSG00000063767.4	S100a7a	protein_coding	2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
ENSMUSG00000063777.3	Olfr1469	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063779.6	Chil4	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063780.7	Olfr282	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063785.12	Utp14a	protein_coding	2	576.0	1607.0	1380.0	1459.0	1795.0	2294.0	1348.0	1505.0	815.0
ENSMUSG00000063787.4	Chchd1	protein_coding	2	485.0	1308.0	1192.0	1102.0	1559.0	1850.0	1117.0	1353.0	642.0
ENSMUSG00000063796.9	Slc22a8	protein_coding	2	4.0	25.0	25.0	12.0	20.0	32.0	9.0	13.0	6.0
ENSMUSG00000063800.5	Prpf38a	protein_coding	2	834.0	2185.0	1704.0	1980.0	2545.0	3169.0	1765.0	2205.0	1063.0
ENSMUSG00000063801.7	Ap3s2	protein_coding	2	812.0	2180.0	1765.0	1933.0	2464.0	2522.0	1569.0	1992.0	867.0
ENSMUSG00000063802.5	Hspbp1	protein_coding	2	338.0	818.0	643.0	718.0	907.0	1061.0	641.0	893.0	366.0
ENSMUSG00000063804.8	Lin28b	protein_coding	2	430.0	893.0	719.0	733.0	1247.0	1285.0	1076.0	1227.0	374.0
ENSMUSG00000063808.14	Gpatch1	protein_coding	2	193.0	595.0	564.0	555.0	721.0	854.0	469.0	662.0	327.0
ENSMUSG00000063810.7	Alms1	protein_coding	2	2444.37	6632.98	5434.57	5776.44	6644.7	7407.65	4962.28	5876.31	2405.63
ENSMUSG00000063816.3	Gm4987	processed_pseudogene	1	0.0	0.0	0.0	5.55	0.0	0.0	0.0	1.78	0.0
ENSMUSG00000063820.11	Arl9	protein_coding	2	0.0	2.0	1.0	1.0	3.0	0.0	0.0	2.0	4.0
ENSMUSG00000063821.6	Dupd1	protein_coding	2	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0
